"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1448","RT @WonderTheMovie: Congratulations to #WonderTheMovie on 3 @CriticsChoice Awards nominations! ‚≠êÔ∏è #CriticsChoice 

Best Adapted Screenplay‚Ä¶",FALSE,0,NA,2017-12-07 08:57:31,FALSE,NA,"938693947865616385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","whatsschnappin",135,TRUE,FALSE,NA,NA
"1449","Our champion  @lucyemma2011 telling her story about growing up with a #visibledifference in @Daily_Record - bravo L‚Ä¶ https://t.co/6L3HP5rIYW",FALSE,13,NA,2017-12-07 08:53:35,TRUE,NA,"938692955073900544",NA,"<a href=""http://socialreport.com"" rel=""nofollow"">SocialReport.com</a>","FaceEquality",5,FALSE,FALSE,NA,NA
"1450","RT @rachaellehr: Today is the day! We are chatting about #curiosity and #wonder this evening in #PrimarySTEMChat - join us at 5:30pm AWST/‚Ä¶",FALSE,0,NA,2017-12-07 08:51:38,FALSE,NA,"938692465757863936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HostBrian",3,TRUE,FALSE,NA,NA
"1451","RT @WonderTheMovie: ‚ÄúAnd boom goes the dynamite!‚Äù Thank YOU for making #WonderTheMovie one of the year's biggest surprise hits! Ì†ºÌºü

https://‚Ä¶",FALSE,0,NA,2017-12-07 08:26:13,FALSE,NA,"938686070841139200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SurveillancHome",53,TRUE,FALSE,NA,NA
"1452","RT @WonderTheMovie: ‚ÄúAnd boom goes the dynamite!‚Äù Thank YOU for making #WonderTheMovie one of the year's biggest surprise hits! Ì†ºÌºü

https://‚Ä¶",FALSE,0,NA,2017-12-07 08:25:13,FALSE,NA,"938685819212222464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrspockian",53,TRUE,FALSE,NA,NA
"1453","You can't blend in when you were born to stand out. Heart-melter #WonderTheMovie out now, starring Julia Roberts an‚Ä¶ https://t.co/wsKT7K91Nt",FALSE,1,NA,2017-12-07 08:25:05,TRUE,NA,"938685782264512512",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","HackneyPH",0,FALSE,FALSE,NA,NA
"1454","RT @WonderTheMovie: ‚ÄúAnd boom goes the dynamite!‚Äù Thank YOU for making #WonderTheMovie one of the year's biggest surprise hits! Ì†ºÌºü

https://‚Ä¶",FALSE,0,NA,2017-12-07 08:21:38,FALSE,NA,"938684917801553920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","panawankongsri",53,TRUE,FALSE,NA,NA
"1455","Applauses to H.E. @tsemtulku for resisting against the discrimination of #shugden practitioners. #religionfreedom‚Ä¶ https://t.co/om1brPnqWI",FALSE,1,NA,2017-12-07 08:20:51,TRUE,NA,"938684720409382912",NA,"<a href=""https://twitter.com"" rel=""nofollow"">bot443344</a>","tb0swe170823",0,FALSE,FALSE,NA,NA
"1456","RT @WonderTheMovie: You are a wonder. Book your tickets for #WonderTheMovie today! https://t.co/yjWZaDB19Y",FALSE,0,NA,2017-12-07 08:16:38,FALSE,NA,"938683657136541697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","angelacaldn",112,TRUE,FALSE,NA,NA
"1457","I #wonder Y? Is CTA's #Rebellious #Defiance becoming #problematic? Pls #DalaiLama #help #LiftShugdenBan 2 #unite th‚Ä¶ https://t.co/Uz7mncSxNG",FALSE,1,NA,2017-12-07 08:07:48,TRUE,NA,"938681432876056576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LimSofi",0,FALSE,FALSE,NA,NA
"1458","RT @AnkzBhargava: Times when Movies leave us with lessons for life! Saw #wonder last night and realised that all of us have A HERO hidden s‚Ä¶",FALSE,0,NA,2017-12-07 08:03:14,FALSE,NA,"938680285364764672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sabharwal_meenu",15,TRUE,FALSE,NA,NA
"1459","RT @WonderTheMovie: Have you see #WonderTheMovie yet? Let us know what scene inspired YOU the most! https://t.co/6v90GXZBMm",FALSE,0,NA,2017-12-07 08:02:30,FALSE,NA,"938680101029285889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GuingavinFn",82,TRUE,FALSE,NA,NA
"1460","#Wonder was such a great movie. Everyone should watch it! #GreatCast",FALSE,0,NA,2017-12-07 08:01:31,FALSE,NA,"938679852206624769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","michonthenet",0,FALSE,FALSE,NA,NA
"1461","Just finished watching #Wonder at 1am!!! I've been in tears Ì†ΩÌ∏≠ the last 10 mins! #emotional #amustsee #touching #mysongottaseethis",FALSE,0,NA,2017-12-07 07:59:39,FALSE,NA,"938679383564238848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThatsDanaLynn",0,FALSE,FALSE,NA,NA
"1462","RT @rkbagatsing: ‚ÄúIf you were to choose between being right or being kind, always choose to be kind.‚Äù  #Wonder",FALSE,0,NA,2017-12-07 07:56:34,FALSE,NA,"938678609119608833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","suangllo",454,TRUE,FALSE,NA,NA
"1463","RT @WonderTheMovie: Congratulations to #WonderTheMovie on 3 @CriticsChoice Awards nominations! ‚≠êÔ∏è #CriticsChoice 

Best Adapted Screenplay‚Ä¶",FALSE,0,NA,2017-12-07 07:56:17,FALSE,NA,"938678535966769152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yimmie1D",135,TRUE,FALSE,NA,NA
"1464","RT @birdwriter7: Share the #Wonder and #Magic of #Christmas with my #ChildrensBook #SnugsTheSnowBear

#Snow #Lighthouse #Sled #Moose #Bear‚Ä¶",FALSE,0,NA,2017-12-07 07:55:50,FALSE,NA,"938678423811215361",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kevinansbro",341,TRUE,FALSE,NA,NA
"1465","RT @WonderTheMovie: Congratulations to #WonderTheMovie on 3 @CriticsChoice Awards nominations! ‚≠êÔ∏è #CriticsChoice 

Best Adapted Screenplay‚Ä¶",FALSE,0,NA,2017-12-07 07:49:57,FALSE,NA,"938676943074947072",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","cineflectionsx",135,TRUE,FALSE,NA,NA
"1466","RT @WonderTheMovie: Congratulations to #WonderTheMovie on 3 @CriticsChoice Awards nominations! ‚≠êÔ∏è #CriticsChoice 

Best Adapted Screenplay‚Ä¶",FALSE,0,NA,2017-12-07 07:49:26,FALSE,NA,"938676811424194561",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sahamongkolfilm",135,TRUE,FALSE,NA,NA
"1467","RT @WonderTheMovie: Congratulations to #WonderTheMovie on 3 @CriticsChoice Awards nominations! ‚≠êÔ∏è #CriticsChoice 

Best Adapted Screenplay‚Ä¶",FALSE,0,NA,2017-12-07 07:46:12,FALSE,NA,"938676000296177664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daniyecla",135,TRUE,FALSE,NA,NA
"1468","RT @birdwriter7: Share the #Wonder and #Magic of #Christmas with my #ChildrensBook #SnugsTheSnowBear

#Snow #Lighthouse #Sled #Moose #Bear‚Ä¶",FALSE,0,NA,2017-12-07 07:43:29,FALSE,NA,"938675313499824133",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CamYorkeBooks",341,TRUE,FALSE,NA,NA
"1469","#Wonder was an amazing movie Ì†ºÌæ• love ‚ù§Ô∏è it",FALSE,0,NA,2017-12-07 07:39:58,FALSE,NA,"938674431177527301",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tapanga15",0,FALSE,FALSE,NA,NA
"1470","RT @sterkinekor: Why fit in when you were born to stand out? Just ask @JacobTremblay Ì†ΩÌ≤ô#WonderTheMovie hits cinemas on 8 Dec. https://t.co/Z‚Ä¶",FALSE,0,NA,2017-12-07 07:37:30,FALSE,NA,"938673808915025920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","masterkay61",25,TRUE,FALSE,NA,NA
